2025.04.21.17.36.26 INFO  utils.LoggerHandler - click on accept cookies
2025.04.21.17.36.27 INFO  utils.LoggerHandler - Successfully Hover on Brands
2025.04.21.17.36.29 INFO  utils.LoggerHandler - Successfully click on PawPatrol
2025.04.21.17.36.29 INFO  utils.LoggerHandler - verify the url
2025.04.21.17.36.29 INFO  utils.LoggerHandler - Successfully click on Playsets & Action Figures
2025.04.21.17.36.30 INFO  utils.LoggerHandler - Successfully verifed the text Narrow
2025.04.21.17.36.30 INFO  utils.LoggerHandler - Successfully clicked on Savings
2025.04.21.17.36.34 INFO  utils.LoggerHandler - Successfully clicked on Product
2025.04.21.17.36.34 INFO  utils.LoggerHandler - Successfully verifed the text Available
2025.04.21.17.36.34 INFO  utils.LoggerHandler - Successfully Clicked on Add to Basket
2025.04.21.17.36.37 INFO  utils.LoggerHandler - Succesffully Clicked on CheckOut
